"cross_section","longitudinal","depth","Place","Date","Time","Temperature","Unit"
50,5,6.4,NA,NA,NA,NA,NA
50,5,9.6,NA,NA,NA,NA,NA
50,5,12.8,NA,NA,NA,NA,NA
50,5,16,NA,NA,NA,NA,NA
50,5,19.2,NA,NA,NA,NA,NA
50,5,22.4,NA,NA,NA,NA,NA
50,5,25.6,NA,NA,NA,NA,NA
50,5,28.8,NA,NA,NA,NA,NA
55,5,0,NA,NA,NA,NA,NA
55,5,3.2,NA,NA,NA,NA,NA
55,5,6.4,NA,NA,NA,NA,NA
55,5,9.6,NA,NA,NA,NA,NA
55,5,12.8,NA,NA,NA,NA,NA
55,5,16,NA,NA,NA,NA,NA
55,5,19.2,NA,NA,NA,NA,NA
55,5,22.4,NA,NA,NA,NA,NA
55,5,25.6,NA,NA,NA,NA,NA
55,5,28.8,NA,NA,NA,NA,NA
58,5,0,NA,NA,NA,NA,NA
58,5,3.2,NA,NA,NA,NA,NA
58,5,6.4,NA,NA,NA,NA,NA
58,5,9.6,NA,NA,NA,NA,NA
58,5,12.8,NA,NA,NA,NA,NA
58,5,16,NA,NA,NA,NA,NA
58,5,19.2,NA,NA,NA,NA,NA
58,5,22.4,NA,NA,NA,NA,NA
58,5,25.6,NA,NA,NA,NA,NA
58,5,28.8,NA,NA,NA,NA,NA
0,10,0,NA,NA,NA,NA,NA
0,10,3.2,NA,NA,NA,NA,NA
0,10,6.4,NA,NA,NA,NA,NA
0,10,9.6,NA,NA,NA,NA,NA
0,10,12.8,NA,NA,NA,NA,NA
0,10,16,NA,NA,NA,NA,NA
0,10,19.2,NA,NA,NA,NA,NA
0,10,22.4,NA,NA,NA,NA,NA
0,10,25.6,NA,NA,NA,NA,NA
0,10,28.8,NA,NA,NA,NA,NA
5,10,0,NA,NA,NA,NA,NA
5,10,3.2,NA,NA,NA,NA,NA
5,10,6.4,NA,NA,NA,NA,NA
5,10,9.6,NA,NA,NA,NA,NA
5,10,12.8,NA,NA,NA,NA,NA
5,10,16,NA,NA,NA,NA,NA
5,10,19.2,NA,NA,NA,NA,NA
5,10,22.4,NA,NA,NA,NA,NA
5,10,25.6,NA,NA,NA,NA,NA
5,10,28.8,NA,NA,NA,NA,NA
10,10,0,NA,NA,NA,NA,NA
10,10,3.2,NA,NA,NA,NA,NA
10,10,6.4,NA,NA,NA,NA,NA
10,10,9.6,NA,NA,NA,NA,NA
10,10,12.8,NA,NA,NA,NA,NA
10,10,16,NA,NA,NA,NA,NA
10,10,19.2,NA,NA,NA,NA,NA
10,10,22.4,NA,NA,NA,NA,NA
10,10,25.6,NA,NA,NA,NA,NA
10,10,28.8,NA,NA,NA,NA,NA
15,10,0,NA,NA,NA,NA,NA
15,10,3.2,NA,NA,NA,NA,NA
15,10,6.4,NA,NA,NA,NA,NA
15,10,9.6,NA,NA,NA,NA,NA
15,10,12.8,NA,NA,NA,NA,NA
15,10,16,NA,NA,NA,NA,NA
15,10,19.2,NA,NA,NA,NA,NA
15,10,22.4,NA,NA,NA,NA,NA
15,10,25.6,NA,NA,NA,NA,NA
15,10,28.8,NA,NA,NA,NA,NA
20,10,0,NA,NA,NA,NA,NA
20,10,3.2,NA,NA,NA,NA,NA
20,10,6.4,NA,NA,NA,NA,NA
20,10,9.6,NA,NA,NA,NA,NA
20,10,12.8,NA,NA,NA,NA,NA
20,10,16,NA,NA,NA,NA,NA
20,10,19.2,NA,NA,NA,NA,NA
20,10,22.4,NA,NA,NA,NA,NA
20,10,25.6,NA,NA,NA,NA,NA
20,10,28.8,NA,NA,NA,NA,NA
25,10,0,NA,NA,NA,NA,NA
25,10,3.2,NA,NA,NA,NA,NA
25,10,6.4,NA,NA,NA,NA,NA
25,10,9.6,NA,NA,NA,NA,NA
25,10,12.8,NA,NA,NA,NA,NA
25,10,16,NA,NA,NA,NA,NA
25,10,19.2,NA,NA,NA,NA,NA
25,10,22.4,NA,NA,NA,NA,NA
25,10,25.6,NA,NA,NA,NA,NA
25,10,28.8,NA,NA,NA,NA,NA
30,10,0,NA,NA,NA,NA,NA
30,10,3.2,NA,NA,NA,NA,NA
30,10,6.4,NA,NA,NA,NA,NA
30,10,9.6,NA,NA,NA,NA,NA
30,10,12.8,NA,NA,NA,NA,NA
30,10,16,NA,NA,NA,NA,NA
30,10,19.2,NA,NA,NA,NA,NA
30,10,22.4,NA,NA,NA,NA,NA
30,10,25.6,NA,NA,NA,NA,NA
30,10,28.8,NA,NA,NA,NA,NA
35,10,0,NA,NA,NA,NA,NA
35,10,3.2,NA,NA,NA,NA,NA
35,10,6.4,NA,NA,NA,NA,NA
35,10,9.6,NA,NA,NA,NA,NA
35,10,12.8,NA,NA,NA,NA,NA
35,10,16,NA,NA,NA,NA,NA
35,10,19.2,NA,NA,NA,NA,NA
35,10,22.4,NA,NA,NA,NA,NA
35,10,25.6,NA,NA,NA,NA,NA
35,10,28.8,NA,NA,NA,NA,NA
40,10,0,NA,NA,NA,NA,NA
40,10,3.2,NA,NA,NA,NA,NA
40,10,6.4,NA,NA,NA,NA,NA
40,10,9.6,NA,NA,NA,NA,NA
40,10,12.8,NA,NA,NA,NA,NA
40,10,16,NA,NA,NA,NA,NA
40,10,19.2,NA,NA,NA,NA,NA
40,10,22.4,NA,NA,NA,NA,NA
40,10,25.6,NA,NA,NA,NA,NA
40,10,28.8,NA,NA,NA,NA,NA
45,10,0,NA,NA,NA,NA,NA
45,10,3.2,NA,NA,NA,NA,NA
45,10,6.4,NA,NA,NA,NA,NA
45,10,9.6,NA,NA,NA,NA,NA
45,10,12.8,NA,NA,NA,NA,NA
45,10,16,NA,NA,NA,NA,NA
45,10,19.2,NA,NA,NA,NA,NA
45,10,22.4,NA,NA,NA,NA,NA
45,10,25.6,NA,NA,NA,NA,NA
45,10,28.8,NA,NA,NA,NA,NA
50,10,0,NA,NA,NA,NA,NA
50,10,3.2,NA,NA,NA,NA,NA
50,10,6.4,NA,NA,NA,NA,NA
50,10,9.6,NA,NA,NA,NA,NA
50,10,12.8,NA,NA,NA,NA,NA
50,10,16,NA,NA,NA,NA,NA
50,10,19.2,NA,NA,NA,NA,NA
50,10,22.4,NA,NA,NA,NA,NA
50,10,25.6,NA,NA,NA,NA,NA
50,10,28.8,NA,NA,NA,NA,NA
55,10,0,NA,NA,NA,NA,NA
55,10,3.2,NA,NA,NA,NA,NA
55,10,6.4,NA,NA,NA,NA,NA
55,10,9.6,NA,NA,NA,NA,NA
55,10,12.8,NA,NA,NA,NA,NA
55,10,16,NA,NA,NA,NA,NA
55,10,19.2,NA,NA,NA,NA,NA
55,10,22.4,NA,NA,NA,NA,NA
55,10,25.6,NA,NA,NA,NA,NA
55,10,28.8,NA,NA,NA,NA,NA
58,10,0,NA,NA,NA,NA,NA
58,10,3.2,NA,NA,NA,NA,NA
58,10,6.4,NA,NA,NA,NA,NA
58,10,9.6,NA,NA,NA,NA,NA
58,10,12.8,NA,NA,NA,NA,NA
58,10,16,NA,NA,NA,NA,NA
58,10,19.2,NA,NA,NA,NA,NA
58,10,22.4,NA,NA,NA,NA,NA
58,10,25.6,NA,NA,NA,NA,NA
58,10,28.8,NA,NA,NA,NA,NA
0,15,0,NA,NA,NA,NA,NA
0,15,3.2,NA,NA,NA,NA,NA
0,15,6.4,NA,NA,NA,NA,NA
0,15,9.6,NA,NA,NA,NA,NA
0,15,12.8,NA,NA,NA,NA,NA
0,15,16,NA,NA,NA,NA,NA
